18:26:52.453 [Party] Player "zXGoovis_AndachairXz" (id=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=) joinded the party "The goovs" (id=35 ownerUID=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE= ownerName=zXGoovis_AndachairXz)
18:44:25.195 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to purchase twp_mg42 x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
18:44:25.273 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has bought twp_mg42 x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 6950.
18:45:30.867 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to sell twp_mg42 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
18:45:30.937 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has sold twp_mg42 x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) and got 5175.
18:45:42.054 [VehicleEnter] Player Josh [uid=HAFduBzmpDN4tgqni6CFo0kwJ2aFYdhg5CPf66P8Zps=] entered vehicle ToyotaHilux Camo (id=70B064C3284F5EEA2384949BF167D6FC pos=<8836.213867, 39.058662, 9963.160156>) as driver
18:45:46.421 [VehicleEngine] Player Josh [uid=HAFduBzmpDN4tgqni6CFo0kwJ2aFYdhg5CPf66P8Zps=] started vehicle ToyotaHilux Camo (id=70B064C3284F5EEA2384949BF167D6FC pos=<8836.213867, 39.058723, 9963.161133>)
18:46:00.976 [VehicleLeave] Player Josh [uid=HAFduBzmpDN4tgqni6CFo0kwJ2aFYdhg5CPf66P8Zps=] left vehicle ToyotaHilux Camo (id=70B064C3284F5EEA2384949BF167D6FC pos=<8838.195313, 40.224224, 9976.460938>)
18:47:09.664 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to purchase twp_m249_mag_200rnd x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
18:47:09.757 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has bought twp_m249_mag_200rnd x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 2400.
18:47:35.515 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to purchase twp_rpk16_mag_100rnd x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
18:47:35.640 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has bought twp_rpk16_mag_100rnd x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 1600.
18:48:40.507 [VehicleCarKey] Player "Josh" (id=HAFduBzmpDN4tgqni6CFo0kwJ2aFYdhg5CPf66P8Zps= pos=<8839.394531, 40.449631, 9977.269531>) used the  ExpansionCarKey to lock ToyotaHilux_kamo (id=70B064C3284F5EEA2384949BF167D6FC pos=<8838.195313, 40.224072, 9976.460938>)
18:48:47.320 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to purchase twp_rpk16 x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
18:48:47.429 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has bought twp_rpk16 x1 from the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>) for a price of 6600.
18:49:15.101 [Market] Player "Bog_Monster" (id=sAzfWixzA1-TNIKhVLRIVZHZX45UaBpWlaWuOFEUMag=) has send a requested to sell twp_m249_mag_200rnd x1 at the trader "Weapons (Oliver [WEAPONS])" in market zone "The Holler" (pos=<5632.000000, 32.000000, 5392.000000>).
