[COT 2024-02-04 23:09:22] 76561199108250772: Teleported to position <5643.580566, 28.709999, 5416.662109>
[COT 2024-02-05 00:22:50] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:51] 76561199407766611: Set Invisibility To 1 [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:52] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2024-02-05 00:22:56] 76561199407766611: Set Invisibility To 1 [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:57] 76561199407766611: Set UnlimitedAmmo To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:22:58] 76561199407766611: Set UnlimitedStamina To true [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedAmmo To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:00] 76561199407766611: Set UnlimitedStamina To false [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:23:02] 76561199407766611: Healed [guid=-r2araXommLNgd2kLCOg5MUhQUGYZRsIrQF--_XcIVE=]
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6651de0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6656340>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6653500>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6661c40>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:45] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c665e270>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:46] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c66661a0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:47] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c667b0f0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:47] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6676b90>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:47] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c667c810>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:47] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c66801e0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:47] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<c6683bb0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:48] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4c4470>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:48] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4c89d0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:48] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4cb810>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:48] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4cc3a0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4c7e40>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4d59f0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4d2bb0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4cfd70>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4d0900>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a0de0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:49] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd49f6c0>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd49b160>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a6a60>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
[COT 2024-02-05 00:51:50] 76561199407766611: Spawned Entity Hryvnia Banknotes Stack (ExpansionBanknoteHryvnia<bd4a2500>, 50000, 100, 0) at <5636.941406, 29.284975, 5395.554199>
